libelle_actuel;ou;occurrences;type;documents;action;nom_propose;texte_libre_propose;confiance;motif
Convecteur_Stockage_Froid;catalogue + documents;1;DO;Groupe_Scolaire_Cantine;RENOMMER;Commande contacteur;Convecteur Stockage Froid;sûr;alignement sur le vocabulaire arbitré
CR1 - Autorisation Ppes;documents;1;DO;ECY600_UEHC_BETHUNE;GARDER;Commande;CR1 - Autorisation Ppes;à relire;aucun local repéré — vocabulaire à valider
CR1 - Defaut ppe 1;documents;1;DI;ECY600_UEHC_BETHUNE;GARDER;Defaut pompe;CR1 - Defaut ppe 1;à relire;aucun local repéré — vocabulaire à valider
CR1 - Defaut ppe 2;documents;1;DI;ECY600_UEHC_BETHUNE;GARDER;Defaut pompe;CR1 - Defaut ppe 2;à relire;aucun local repéré — vocabulaire à valider
CR1 - Signal V3V;documents;1;AO;ECY600_UEHC_BETHUNE;GARDER;Pilotage V3V;CR1 - Signal V3V;à relire;aucun local repéré — vocabulaire à valider
CR2 - Autorisation Ppes;documents;1;DO;ECY600_UEHC_BETHUNE;GARDER;Commande;CR2 - Autorisation Ppes;à relire;aucun local repéré — vocabulaire à valider
CR2 - Defaut ppe 1;documents;1;DI;ECY600_UEHC_BETHUNE;GARDER;Defaut pompe;CR2 - Defaut ppe 1;à relire;aucun local repéré — vocabulaire à valider
CR2 - Defaut ppe 2;documents;1;DI;ECY600_UEHC_BETHUNE;GARDER;Defaut pompe;CR2 - Defaut ppe 2;à relire;aucun local repéré — vocabulaire à valider
CR2 - Signal V3V;documents;1;AO;ECY600_UEHC_BETHUNE;GARDER;Pilotage V3V;CR2 - Signal V3V;à relire;aucun local repéré — vocabulaire à valider
Cuisine;catalogue + documents;1;DO;Groupe_Scolaire_Cantine;GARDER;Commande;Cuisine;à relire;aucun local repéré — vocabulaire à valider
Defaut CHD;documents;1;DI;ECY600_UEHC_BETHUNE;GARDER;Defaut;Chaudiere;à relire;aucun local repéré — vocabulaire à valider
Defaut Pompe 1;documents;1;DI;Sous-Station;RENOMMER;Defaut pompe 1;;sûr;variante d'écriture d'un point du catalogue
Defaut Pompe 2;documents;1;DI;Sous-Station;RENOMMER;Defaut pompe 2;;sûr;variante d'écriture d'un point du catalogue
ECS - Autorisation Ppes;documents;1;DO;ECY600_UEHC_BETHUNE;GARDER;Commande ECS - Autorisation Ppes;;à relire;aucun local repéré — vocabulaire à valider
ECS - Defaut Ppe 1;documents;1;DI;ECY600_UEHC_BETHUNE;GARDER;Defaut pompe;ECS - Defaut Ppe 1;à relire;aucun local repéré — vocabulaire à valider
ECS - Defaut Ppe 2;documents;1;DI;ECY600_UEHC_BETHUNE;GARDER;Defaut pompe;ECS - Defaut Ppe 2;à relire;aucun local repéré — vocabulaire à valider
Extracteur GV;documents;1;DO;Salle des fêtes — Berthecourt;GARDER;Extracteur GV;;à relire;aucun local repéré — vocabulaire à valider
Extracteur PV;documents;1;DO;Salle des fêtes — Berthecourt;GARDER;Extracteur PV;;à relire;aucun local repéré — vocabulaire à valider
Hall;catalogue + documents;1;DO;Groupe_Scolaire_Cantine;GARDER;Commande;Hall;à relire;aucun local repéré — vocabulaire à valider
Infirmerie;catalogue + documents;1;DO;Groupe_Scolaire_Cantine;GARDER;Commande;Infirmerie;à relire;aucun local repéré — vocabulaire à valider
Insufflateur GV;documents;1;DO;Salle des fêtes — Berthecourt;GARDER;Insufflateur GV;;à relire;aucun local repéré — vocabulaire à valider
Insufflateur PV;documents;1;DO;Salle des fêtes — Berthecourt;GARDER;Insufflateur PV;;à relire;aucun local repéré — vocabulaire à valider
Laverie;catalogue + documents;1;DO;Groupe_Scolaire_Cantine;GARDER;Commande;Laverie;à relire;aucun local repéré — vocabulaire à valider
Local_Dechet;catalogue + documents;1;DO;Groupe_Scolaire_Cantine;RENOMMER;Commande;Local Dechet;sûr;alignement sur le vocabulaire arbitré
M/A Ballon ECS;documents;1;DO;Maternelle Petit Bouton Nacré — Andeville;RENOMMER;Commande Chauffe eau;;sûr;synonyme ou regroupement du vocabulaire
M/A Bureau 1;documents;1;DO;Maternelle Petit Bouton Nacré — Andeville;SCINDER;Commande;Bureau 1;sûr;générique connu du catalogue
M/A Bureau 2;documents;1;DO;Maternelle Petit Bouton Nacré — Andeville;SCINDER;Commande;Bureau 2;sûr;générique connu du catalogue
M/A Chauffage Ballon d'eau chaude;documents;1;DO;Ecole Primaire Berthecourt — Coupleur 1 Maternelle;RENOMMER;Commande Chauffage;Ballon d'eau chaude;sûr;synonyme ou regroupement du vocabulaire
M/A Chauffage Bibliotheque;documents;1;DO;Ecole Primaire Berthecourt — Automate maître;RENOMMER;Commande Chauffage;Bibliotheque;sûr;synonyme ou regroupement du vocabulaire
M/A Chauffage Circulation;documents;1;DO;Ecole Primaire Berthecourt — Automate maître;SCINDER;Commande Chauffage;Circulation;sûr;regroupement arbitré
M/A Chauffage cuisine;documents;1;DO;Montagny Ecole — Coupleur CTA/Cuisine;SCINDER;Commande Chauffage;cuisine;sûr;regroupement arbitré
M/A Chauffage Degagement;documents;1;DO;Ecole Primaire Berthecourt — Coupleur 2 Primaire;SCINDER;Commande Chauffage;Degagement;sûr;regroupement arbitré
M/A Chauffage Directeur;documents;1;DO;Ecole Primaire Berthecourt — Automate maître;RENOMMER;Commande Chauffage;Directeur;sûr;synonyme ou regroupement du vocabulaire
M/A Chauffage Dortoir;documents;1;DO;Ecole Primaire Berthecourt — Coupleur 1 Maternelle;SCINDER;Commande Chauffage;Dortoir;sûr;regroupement arbitré
M/A Chauffage Preau;documents;1;DO;Ecole Primaire Berthecourt — Automate maître;SCINDER;Commande Chauffage;Preau;sûr;regroupement arbitré
M/A Chauffage Psychomoteur;documents;1;DO;Ecole Primaire Berthecourt — Coupleur 1 Maternelle;RENOMMER;Commande Chauffage;Psychomoteur;sûr;synonyme ou regroupement du vocabulaire
M/A Chauffage Rangement;documents;1;DO;Ecole Primaire Berthecourt — Coupleur 3 Périscolaire;SCINDER;Commande Chauffage;Rangement;sûr;regroupement arbitré
M/A Chauffage Rangement (salle des maitres);documents;1;DO;Ecole Primaire Berthecourt — Coupleur 2 Primaire;SCINDER;Commande Chauffage;Rangement (salle des maitres);sûr;regroupement arbitré
M/A Chauffage Salle informatique;documents;1;DO;Ecole Primaire Berthecourt — Coupleur 2 Primaire;SCINDER;Commande Chauffage;Salle informatique;sûr;regroupement arbitré
M/A Chauffage Salle periscolaire;documents;1;DO;Ecole Primaire Berthecourt — Coupleur 3 Périscolaire;SCINDER;Commande Chauffage;Salle periscolaire;sûr;regroupement arbitré
M/A Chauffage Sanitaires et couloirs;documents;1;DO;Ecole Primaire Berthecourt — Coupleur 1 Maternelle;SCINDER;Commande Chauffage;Sanitaires et couloirs;sûr;regroupement arbitré
M/A Chauffage Sanitaires filles;documents;1;DO;Ecole Primaire Berthecourt — Automate maître;SCINDER;Commande Chauffage;Sanitaires filles;sûr;regroupement arbitré
M/A Chauffage Sanitaires fixe;documents;1;DO;Ecole Primaire Berthecourt — Coupleur 3 Périscolaire;SCINDER;Commande Chauffage;Sanitaires fixe;sûr;regroupement arbitré
M/A Chauffage Sanitaires garcons;documents;1;DO;Ecole Primaire Berthecourt — Automate maître;SCINDER;Commande Chauffage;Sanitaires garcons;sûr;regroupement arbitré
M/A Chauffage SM1 (petite section);documents;1;DO;Ecole Primaire Berthecourt — Coupleur 1 Maternelle;SCINDER;Commande Chauffage;SM1 (petite section);sûr;regroupement arbitré
M/A Chauffage SM2 (moyenne section);documents;1;DO;Ecole Primaire Berthecourt — Coupleur 1 Maternelle;SCINDER;Commande Chauffage;SM2 (moyenne section);sûr;regroupement arbitré
M/A Chauffage SM3 (grande section);documents;1;DO;Ecole Primaire Berthecourt — Coupleur 1 Maternelle;SCINDER;Commande Chauffage;SM3 (grande section);sûr;regroupement arbitré
M/A Chauffage SP1;documents;1;DO;Ecole Primaire Berthecourt — Coupleur 2 Primaire;RENOMMER;Commande Chauffage;SP1;sûr;synonyme ou regroupement du vocabulaire
M/A Chauffage SP2;documents;1;DO;Ecole Primaire Berthecourt — Coupleur 2 Primaire;RENOMMER;Commande Chauffage;SP2;sûr;synonyme ou regroupement du vocabulaire
M/A Chauffage SP3;documents;1;DO;Ecole Primaire Berthecourt — Coupleur 2 Primaire;RENOMMER;Commande Chauffage;SP3;sûr;synonyme ou regroupement du vocabulaire
M/A Chauffage SP4;documents;1;DO;Ecole Primaire Berthecourt — Coupleur 2 Primaire;RENOMMER;Commande Chauffage;SP4;sûr;synonyme ou regroupement du vocabulaire
M/A Chauffage SP5;documents;1;DO;Ecole Primaire Berthecourt — Coupleur 2 Primaire;RENOMMER;Commande Chauffage;SP5;sûr;synonyme ou regroupement du vocabulaire
M/A Chauffage Z3 Salle 1;documents;1;DO;Montagny Ecole — Automate centralisateur;SCINDER;Commande Chauffage;Z3 Salle 1;sûr;regroupement arbitré
M/A Chauffage Z4 Salle 2;documents;1;DO;Montagny Ecole — Automate centralisateur;SCINDER;Commande Chauffage;Z4 Salle 2;sûr;regroupement arbitré
M/A Chauffage Z5 Salle 3;documents;1;DO;Montagny Ecole — Automate centralisateur;SCINDER;Commande Chauffage;Z5 Salle 3;sûr;regroupement arbitré
M/A Chauffage Z6 Salle 4;documents;1;DO;Montagny Ecole — Automate centralisateur;SCINDER;Commande Chauffage;Z6 Salle 4;sûr;regroupement arbitré
M/A Chauffage Z7 Salle informatique;documents;1;DO;Montagny Ecole — Automate centralisateur;SCINDER;Commande Chauffage;Z7 Salle informatique;sûr;regroupement arbitré
M/A Chauffage Z8 Bureau direction;documents;1;DO;Montagny Ecole — Automate centralisateur;SCINDER;Commande Chauffage;Z8 Bureau direction;sûr;regroupement arbitré
M/A Chauffage Zone 1;documents;1;DO;Montagny Ecole — Automate centralisateur;SCINDER;Commande Chauffage;Zone 1;sûr;regroupement arbitré
M/A Chauffage Zone 2;documents;1;DO;Montagny Ecole — Automate centralisateur;SCINDER;Commande Chauffage;Zone 2;sûr;regroupement arbitré
M/A Classe 1;documents;1;DO;Maternelle Petit Bouton Nacré — Andeville;SCINDER;Commande;Classe 1;sûr;générique connu du catalogue
M/A Classe 2;documents;1;DO;Maternelle Petit Bouton Nacré — Andeville;SCINDER;Commande;Classe 2;sûr;générique connu du catalogue
M/A Classe 3;documents;1;DO;Maternelle Petit Bouton Nacré — Andeville;SCINDER;Commande;Classe 3;sûr;générique connu du catalogue
M/A Classe 4;documents;1;DO;Maternelle Petit Bouton Nacré — Andeville;SCINDER;Commande;Classe 4;sûr;générique connu du catalogue
M/A Convecteur Degagement Sous-Sol;documents;1;DO;Centre Culturel Plailly — Automate Chauffage;SCINDER;Commande Chauffage;Degagement Sous-Sol;à relire;générique déduit — à confirmer
M/A Convecteur Local Materiel 1 & 2;documents;1;DO;Centre Culturel Plailly — Automate Chauffage;SCINDER;Commande Chauffage;Materiel 1 & 2;à relire;générique déduit — à confirmer
M/A Convecteur Local Materiel 3 & 4;documents;1;DO;Centre Culturel Plailly — Automate Chauffage;SCINDER;Commande Chauffage;Materiel 3 & 4;à relire;générique déduit — à confirmer
M/A Convecteur Sanitaires Hommes & Femmes;documents;1;DO;Centre Culturel Plailly — Automate Chauffage;SCINDER;Commande Chauffage;Sanitaires Hommes & Femmes;à relire;générique déduit — à confirmer
M/A CTA / TRIAC / Extracteur Cuisine;documents;1;DO;Montagny Ecole — Coupleur CTA/Cuisine;SCINDER;Commande CTA / TRIAC / Extracteur;Cuisine;à relire;générique déduit — à confirmer
M/A CTA VMC;documents;1;DO;Maternelle Petit Bouton Nacré — Andeville;RENOMMER;Commande Cta vmc;;sûr;synonyme ou regroupement du vocabulaire
M/A Eclairage;documents;1;DO;Maternelle — Plailly;RENOMMER;Commande Eclairage;;sûr;synonyme ou regroupement du vocabulaire
M/A Eclairage Exterieur;documents;1;DO;Primaire — Plailly;RENOMMER;Commande Eclairage Exterieur;;sûr;synonyme ou regroupement du vocabulaire
M/A Eclairage Sanitaire Fille;documents;1;DO;Primaire — Plailly;SCINDER;Commande Eclairage;Sanitaire Fille;à relire;générique déduit — à confirmer
M/A Eclairage Sanitaire Garcon;documents;1;DO;Primaire — Plailly;SCINDER;Commande Eclairage;Sanitaire Garcon;à relire;générique déduit — à confirmer
M/A Extracteur Salle de Classe;documents;1;DO;Montagny Ecole — Coupleur CTA/Cuisine;SCINDER;Commande Extracteur;Salle de Classe;à relire;générique déduit — à confirmer
M/A Extracteur sanitaire / sanitaire cuisine;documents;1;DO;Montagny Ecole — Coupleur CTA/Cuisine;SCINDER;Commande Extracteur;sanitaire / sanitaire cuisine;à relire;générique déduit — à confirmer
M/A General Chauffage Convecteurs;documents;1;DO;Centre Culturel Plailly — Automate Chauffage;RENOMMER;Commande General Chauffage Convecteurs;;sûr;synonyme ou regroupement du vocabulaire
M/A General Plafond Rayonnant - Grande Salle 1 & 2 - Mezzanine;documents;1;DO;Centre Culturel Plailly — Automate Chauffage;SCINDER;Commande General;Plafond Rayonnant - Grande Salle 1 & 2 - Mezzanine;à relire;générique déduit — à confirmer
M/A General Plancher Chauffant;documents;1;DO;Centre Culturel Plailly — Automate Chauffage;RENOMMER;Commande General Plancher Chauffant;;sûr;synonyme ou regroupement du vocabulaire
M/A Hall entrée / Bibliothèque;documents;1;DO;Maternelle Petit Bouton Nacré — Andeville;SCINDER;Commande;Hall entrée / Bibliothèque;sûr;générique connu du catalogue
M/A Plancher Chauffant CE2;documents;1;DO;Primaire — Plailly;SCINDER;Commande Plancher Chauffant;CE2;sûr;regroupement arbitré
M/A Plancher Chauffant Classe 1 (Trames 7-8);documents;1;DO;Maternelle — Plailly;SCINDER;Commande Plancher Chauffant;Classe 1 (Trames 7-8);sûr;regroupement arbitré
M/A Plancher Chauffant Classe 2 (Trames 5-6);documents;1;DO;Maternelle — Plailly;SCINDER;Commande Plancher Chauffant;Classe 2 (Trames 5-6);sûr;regroupement arbitré
M/A Plancher Chauffant Classe 3 (Trames 22-23);documents;1;DO;Maternelle — Plailly;SCINDER;Commande Plancher Chauffant;Classe 3 (Trames 22-23);sûr;regroupement arbitré
M/A Plancher Chauffant CM1 Trames 18-17;documents;1;DO;Primaire — Plailly;SCINDER;Commande Plancher Chauffant;CM1 Trames 18-17;sûr;regroupement arbitré
M/A Plancher Chauffant CM2 Trames 16-13;documents;1;DO;Primaire — Plailly;SCINDER;Commande Plancher Chauffant;CM2 Trames 16-13;sûr;regroupement arbitré
M/A Plancher Chauffant Couloir CM1+CM2 Trames 19-20;documents;1;DO;Primaire — Plailly;SCINDER;Commande Plancher Chauffant;Couloir CM1+CM2 Trames 19-20;sûr;regroupement arbitré
M/A Plancher Chauffant CP;documents;1;DO;Primaire — Plailly;RENOMMER;Commande Plancher Chauffant;CP;sûr;synonyme ou regroupement du vocabulaire
M/A Plancher Chauffant Degagement / Hall (Trames 13-14);documents;1;DO;Maternelle — Plailly;SCINDER;Commande Plancher Chauffant;Degagement / Hall (Trames 13-14);sûr;regroupement arbitré
M/A Plancher Chauffant Degagement 2 (Trames 15-16);documents;1;DO;Maternelle — Plailly;SCINDER;Commande Plancher Chauffant;Degagement 2 (Trames 15-16);sûr;regroupement arbitré
M/A Plancher Chauffant Degagement CE1;documents;1;DO;Primaire — Plailly;SCINDER;Commande Plancher Chauffant;Degagement CE1;sûr;regroupement arbitré
M/A Plancher Chauffant Direction (Trame 12);documents;1;DO;Maternelle — Plailly;SCINDER;Commande Plancher Chauffant;Direction (Trame 12);sûr;regroupement arbitré
M/A Plancher Chauffant Dortoir (Trames 24-25);documents;1;DO;Maternelle — Plailly;SCINDER;Commande Plancher Chauffant;Dortoir (Trames 24-25);sûr;regroupement arbitré
M/A Plancher Chauffant Locaux Professeurs (Trames 9-10);documents;1;DO;Maternelle — Plailly;SCINDER;Commande Plancher Chauffant;Locaux Professeurs (Trames 9-10);sûr;regroupement arbitré
M/A Plancher Chauffant Nouveau CE1;documents;1;DO;Primaire — Plailly;SCINDER;Commande Plancher Chauffant;Nouveau — CE1;sûr;regroupement arbitré
M/A Plancher Chauffant Peinture (Trame 18);documents;1;DO;Maternelle — Plailly;SCINDER;Commande Plancher Chauffant;Peinture (Trame 18);sûr;regroupement arbitré
M/A Plancher Chauffant Preau;documents;1;DO;Primaire — Plailly;SCINDER;Commande Plancher Chauffant;Preau;sûr;regroupement arbitré
M/A Plancher Chauffant Rangement Administration (Trame 11);documents;1;DO;Maternelle — Plailly;SCINDER;Commande Plancher Chauffant;Rangement Administration (Trame 11);sûr;regroupement arbitré
M/A Plancher Chauffant Rangement Materiel (Trames 19-20);documents;1;DO;Maternelle — Plailly;SCINDER;Commande Plancher Chauffant;Rangement Materiel (Trames 19-20);sûr;regroupement arbitré
M/A Plancher Chauffant Salle Evolution (Trames 1-2-3-4);documents;1;DO;Maternelle — Plailly;SCINDER;Commande Plancher Chauffant;Salle Evolution (Trames 1-2-3-4);sûr;regroupement arbitré
M/A Plancher Chauffant Sanitaire;documents;1;DO;Primaire — Plailly;SCINDER;Commande Plancher Chauffant;Sanitaire;sûr;regroupement arbitré
M/A Plancher Chauffant Sanitaires Petits (Trame 21);documents;1;DO;Maternelle — Plailly;SCINDER;Commande Plancher Chauffant;Sanitaires Petits (Trame 21);sûr;regroupement arbitré
M/A Plancher Chauffant Tisanerie (Trame 17);documents;1;DO;Maternelle — Plailly;SCINDER;Commande Plancher Chauffant;Tisanerie (Trame 17);sûr;regroupement arbitré
M/A Repos 1;documents;1;DO;Maternelle Petit Bouton Nacré — Andeville;SCINDER;Commande;Repos 1;sûr;générique connu du catalogue
M/A Repos 2;documents;1;DO;Maternelle Petit Bouton Nacré — Andeville;SCINDER;Commande;Repos 2;sûr;générique connu du catalogue
M/A Salle;documents;1;DO;Maternelle Petit Bouton Nacré — Andeville;SCINDER;Commande;Salle;sûr;générique connu du catalogue
M/A Sanitaire 1;documents;1;DO;Maternelle Petit Bouton Nacré — Andeville;SCINDER;Commande;Sanitaire 1;sûr;générique connu du catalogue
M/A Sanitaire 2;documents;1;DO;Maternelle Petit Bouton Nacré — Andeville;SCINDER;Commande;Sanitaire 2;sûr;générique connu du catalogue
M/A Tisanerie;documents;1;DO;Maternelle Petit Bouton Nacré — Andeville;SCINDER;Commande;Tisanerie;sûr;générique connu du catalogue
M/A Trame Chauffante N°01 : Sas & Entree N°1;documents;1;DO;Centre Culturel Plailly — Automate Chauffage;SCINDER;Commande;Trame Chauffante N°01 : Sas & Entree N°1;sûr;générique connu du catalogue
M/A Trame Chauffante N°02 : Cuisine & Loge N°02;documents;1;DO;Centre Culturel Plailly — Automate Chauffage;SCINDER;Commande;Trame Chauffante N°02 : Cuisine & Loge N°02;sûr;générique connu du catalogue
M/A Trame Plancher Chauffant N°03 : Hall N°3;documents;1;DO;Centre Culturel Plailly — Automate Chauffage;SCINDER;Commande;Trame Plancher Chauffant N°03 : Hall N°3;sûr;générique connu du catalogue
M/A Trame Plancher Chauffant N°04 : Grande Salle N°4;documents;1;DO;Centre Culturel Plailly — Automate Chauffage;SCINDER;Commande;Trame Plancher Chauffant N°04 : Grande Salle N°4;sûr;générique connu du catalogue
M/A Trame Plancher Chauffant N°05 : Grande Salle N°5;documents;1;DO;Centre Culturel Plailly — Automate Chauffage;SCINDER;Commande;Trame Plancher Chauffant N°05 : Grande Salle N°5;sûr;générique connu du catalogue
